IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.210.140.91,443,true,HKG,Asia Pacific,Hong Kong,36 ms,14402 kB/s
47.242.180.240,443,true,TPE,Asia Pacific,Taipei,37 ms,8819 kB/s
158.101.83.70,443,true,LAX,North America,Los Angeles,206 ms,7982 kB/s
8.219.93.228,443,true,SIN,Asia Pacific,Singapore,73 ms,7626 kB/s
152.67.203.34,443,true,ICN,Asia Pacific,Seoul,97 ms,7185 kB/s
8.219.106.124,443,true,SIN,Asia Pacific,Singapore,71 ms,6918 kB/s
155.248.168.199,443,true,LAX,North America,Los Angeles,179 ms,6898 kB/s
8.219.12.109,443,true,SIN,Asia Pacific,Singapore,75 ms,6840 kB/s
158.180.82.186,443,true,ICN,Asia Pacific,Seoul,95 ms,6676 kB/s
150.230.207.145,443,true,LAX,North America,Los Angeles,188 ms,6621 kB/s
129.154.202.200,443,true,LAX,North America,Los Angeles,233 ms,6395 kB/s
132.145.94.80,443,true,ICN,Asia Pacific,Seoul,196 ms,6076 kB/s
8.219.129.251,443,true,SIN,Asia Pacific,Singapore,73 ms,5717 kB/s
8.219.11.201,443,true,SIN,Asia Pacific,Singapore,76 ms,5706 kB/s
141.147.184.160,443,true,NRT,Asia Pacific,Tokyo,67 ms,5624 kB/s
47.245.96.128,443,true,SIN,Asia Pacific,Singapore,72 ms,5440 kB/s
193.122.97.248,443,true,ICN,Asia Pacific,Seoul,184 ms,5365 kB/s
129.150.53.218,443,true,SIN,Asia Pacific,Singapore,250 ms,5217 kB/s
152.69.231.5,443,true,SIN,Asia Pacific,Singapore,280 ms,5173 kB/s
8.222.171.221,443,true,SIN,Asia Pacific,Singapore,78 ms,5093 kB/s
8.219.3.172,443,true,SIN,Asia Pacific,Singapore,73 ms,5068 kB/s
155.248.181.189,443,true,NRT,Asia Pacific,Tokyo,67 ms,5037 kB/s
152.70.98.195,443,true,LAX,North America,Los Angeles,197 ms,4804 kB/s
150.230.252.137,443,true,SIN,Asia Pacific,Singapore,286 ms,4730 kB/s
8.219.175.190,443,true,SIN,Asia Pacific,Singapore,72 ms,4727 kB/s
8.219.103.101,443,true,SIN,Asia Pacific,Singapore,69 ms,4723 kB/s
141.147.185.63,443,true,NRT,Asia Pacific,Tokyo,62 ms,4710 kB/s
8.222.128.71,443,true,SIN,Asia Pacific,Singapore,65 ms,4685 kB/s
132.226.157.11,443,true,LAX,North America,Los Angeles,218 ms,4593 kB/s
140.238.50.112,443,true,NRT,Asia Pacific,Tokyo,67 ms,4571 kB/s
141.147.188.120,443,true,NRT,Asia Pacific,Tokyo,62 ms,4498 kB/s
138.2.23.135,443,true,SIN,Asia Pacific,Singapore,253 ms,4462 kB/s
8.222.160.112,443,true,SIN,Asia Pacific,Singapore,78 ms,4441 kB/s
158.180.89.217,443,true,SIN,Asia Pacific,Singapore,272 ms,4373 kB/s
141.147.168.141,443,true,NRT,Asia Pacific,Tokyo,67 ms,3994 kB/s
8.219.191.45,443,true,SIN,Asia Pacific,Singapore,74 ms,3985 kB/s
144.24.67.238,443,true,SIN,Asia Pacific,Singapore,274 ms,3906 kB/s
130.162.156.152,443,true,LAX,North America,Los Angeles,191 ms,3776 kB/s
158.101.23.175,443,true,LAX,North America,Los Angeles,184 ms,3743 kB/s
8.219.222.216,443,true,SIN,Asia Pacific,Singapore,79 ms,3667 kB/s
8.219.174.8,443,true,SIN,Asia Pacific,Singapore,71 ms,3616 kB/s
152.70.96.9,443,true,LAX,North America,Los Angeles,180 ms,3596 kB/s
8.219.194.115,443,true,SIN,Asia Pacific,Singapore,74 ms,3435 kB/s
150.136.87.192,443,true,IAD,North America,Ashburn,281 ms,3219 kB/s
152.70.155.147,443,true,LAX,North America,Los Angeles,201 ms,3201 kB/s
131.186.33.175,443,true,NRT,Asia Pacific,Tokyo,57 ms,3109 kB/s
146.56.141.197,443,true,ICN,Asia Pacific,Seoul,189 ms,2982 kB/s
8.222.229.243,443,true,SIN,Asia Pacific,Singapore,72 ms,2762 kB/s
150.230.7.216,443,true,KIX,Asia Pacific,Osaka,210 ms,2638 kB/s
8.219.91.159,443,true,SIN,Asia Pacific,Singapore,75 ms,2598 kB/s
144.24.90.107,443,true,ICN,Asia Pacific,Seoul,88 ms,2489 kB/s
138.2.9.167,443,true,LAX,North America,Los Angeles,194 ms,2320 kB/s
129.154.207.203,443,true,ICN,Asia Pacific,Seoul,196 ms,2320 kB/s
131.186.58.134,443,true,LAX,North America,Los Angeles,187 ms,2226 kB/s
152.67.99.162,443,true,SYD,Oceania,Sydney,283 ms,2212 kB/s
8.219.148.84,443,true,SIN,Asia Pacific,Singapore,71 ms,2126 kB/s
8.219.103.203,443,true,SIN,Asia Pacific,Singapore,72 ms,1773 kB/s
155.248.166.252,443,true,LAX,North America,Los Angeles,198 ms,1738 kB/s
141.148.189.124,443,true,LAX,North America,Los Angeles,184 ms,1524 kB/s
193.122.114.82,443,true,ICN,Asia Pacific,Seoul,186 ms,1515 kB/s
155.248.165.49,443,true,SIN,Asia Pacific,Singapore,256 ms,1509 kB/s
152.70.90.168,443,true,ICN,Asia Pacific,Seoul,209 ms,1455 kB/s
8.219.100.208,443,true,SIN,Asia Pacific,Singapore,73 ms,1373 kB/s
131.186.63.37,443,true,LAX,North America,Los Angeles,191 ms,1367 kB/s
138.2.18.250,443,true,NRT,Asia Pacific,Tokyo,68 ms,1217 kB/s
146.56.146.67,443,true,ICN,Asia Pacific,Seoul,196 ms,1178 kB/s
8.219.138.134,443,true,SIN,Asia Pacific,Singapore,70 ms,1028 kB/s
8.219.212.50,443,true,SIN,Asia Pacific,Singapore,85 ms,1009 kB/s
152.67.125.161,443,true,SYD,Oceania,Sydney,303 ms,938 kB/s
152.67.192.100,443,true,SIN,Asia Pacific,Singapore,283 ms,865 kB/s
8.210.58.6,443,true,HKG,Asia Pacific,Hong Kong,36 ms,571 kB/s
152.67.125.174,443,true,SYD,Oceania,Sydney,277 ms,416 kB/s
8.219.254.241,443,true,SIN,Asia Pacific,Singapore,66 ms,377 kB/s
8.210.48.192,443,true,HKG,Asia Pacific,Hong Kong,34 ms,368 kB/s
192.9.148.42,443,true,SJC,North America,San Jose,276 ms,227 kB/s
158.180.231.216,443,true,MRS,Europe,Marseille,190 ms,180 kB/s
193.123.161.69,443,true,SIN,Asia Pacific,Singapore,243 ms,173 kB/s
132.226.134.154,443,true,FRA,Europe,Frankfurt,283 ms,162 kB/s
141.144.204.204,443,true,FRA,Europe,Frankfurt,277 ms,155 kB/s
152.70.51.255,443,true,FRA,Europe,Frankfurt,287 ms,144 kB/s
141.147.93.186,443,true,FRA,Europe,Frankfurt,291 ms,140 kB/s
129.159.202.83,443,true,FRA,Europe,Frankfurt,394 ms,137 kB/s
152.70.50.39,443,true,FRA,Europe,Frankfurt,273 ms,111 kB/s
141.144.232.247,443,true,FRA,Europe,Frankfurt,338 ms,105 kB/s
130.162.174.70,443,true,FRA,Europe,Frankfurt,289 ms,104 kB/s
152.70.54.236,443,true,FRA,Europe,Frankfurt,280 ms,95 kB/s
141.148.238.225,443,true,FRA,Europe,Frankfurt,275 ms,89 kB/s
150.230.20.4,443,true,AMS,Europe,Amsterdam,393 ms,86 kB/s
193.123.81.105,443,true,CDG,Europe,Paris,219 ms,86 kB/s
131.186.28.247,443,true,SIN,Asia Pacific,Singapore,273 ms,84 kB/s
129.159.13.58,443,true,FRA,Europe,Frankfurt,328 ms,83 kB/s
158.178.245.161,443,true,SIN,Asia Pacific,Singapore,71 ms,70 kB/s
152.70.163.174,443,true,FRA,Europe,Frankfurt,319 ms,56 kB/s
152.70.57.120,443,true,FRA,Europe,Frankfurt,280 ms,40 kB/s
152.70.176.253,443,true,FRA,Europe,Frankfurt,337 ms,35 kB/s
193.123.37.232,443,true,FRA,Europe,Frankfurt,277 ms,32 kB/s
129.151.254.48,443,true,MRS,Europe,Marseille,350 ms,30 kB/s
193.123.188.16,443,true,FRA,Europe,Frankfurt,295 ms,30 kB/s
130.162.166.136,443,true,FRA,Europe,Frankfurt,277 ms,21 kB/s
155.248.173.66,443,true,LAX,North America,Los Angeles,183 ms,20 kB/s
158.101.214.54,443,true,AMS,Europe,Amsterdam,342 ms,13 kB/s
130.61.124.127,443,true,FRA,Europe,Frankfurt,394 ms,7 kB/s
193.123.250.28,443,true,LAX,North America,Los Angeles,193 ms,6 kB/s
146.56.40.227,443,true,LAX,North America,Los Angeles,227 ms,5 kB/s
168.138.13.201,443,true,MEL,Oceania,Melbourne,310 ms,2 kB/s
168.138.177.109,443,true,SIN,Asia Pacific,Singapore,269 ms,1 kB/s
132.145.81.117,443,true,ICN,Asia Pacific,Seoul,196 ms,0 kB/s
8.212.43.8,443,true,SJC,North America,San Jose,37 ms,0 kB/s
144.24.140.37,443,true,HYD,Asia Pacific,Hyderabad,274 ms,0 kB/s
152.70.253.44,443,true,ICN,Asia Pacific,Seoul,194 ms,0 kB/s
129.151.148.35,443,true,HKG,Asia Pacific,Hong Kong,237 ms,0 kB/s
193.123.240.193,443,true,LAX,North America,Los Angeles,225 ms,0 kB/s
130.162.138.240,443,true,SIN,Asia Pacific,Singapore,277 ms,0 kB/s
193.122.127.236,443,true,LAX,North America,Los Angeles,225 ms,0 kB/s
146.56.158.214,443,true,LAX,North America,Los Angeles,225 ms,0 kB/s
8.219.146.216,443,true,SIN,Asia Pacific,Singapore,74 ms,0 kB/s
193.122.125.223,443,true,ICN,Asia Pacific,Seoul,195 ms,0 kB/s
129.154.194.197,443,true,LAX,North America,Los Angeles,229 ms,0 kB/s
141.147.188.152,443,true,LAX,North America,Los Angeles,179 ms,0 kB/s
131.186.25.197,443,true,LAX,North America,Los Angeles,223 ms,0 kB/s
130.162.136.16,443,true,LAX,North America,Los Angeles,187 ms,0 kB/s
150.230.108.249,443,true,LAX,North America,Los Angeles,196 ms,0 kB/s
